message_metric,music_metric,correlation,p_value
vader_negative_q1,tempo_q1,-0.017064754214661262,0.6012962549009518
vader_negative_q1,tempo_median,-0.0028095782445129395,0.931446075113618
vader_negative_q1,tempo_q3,0.01195742620607717,0.7142658149813259
vader_negative_q1,tempo_range,0.04537629092112781,0.1645059137080073
vader_negative_q1,tempo_iqr,0.025277271006714216,0.43888411223606516
vader_negative_q1,tempo_std_dev,0.025583240002524203,0.43731359274486403
vader_negative_q1,tempo_min,-0.046909541745434324,0.15069049549301367
vader_negative_q1,tempo_max,0.031898121325637664,0.3286061944789102
vader_negative_q1,tempo_mean,-0.0058329572781801,0.8582528586961888
vader_negative_q1,tempo_skewness,-0.012279491756413212,0.7105247874370724
vader_negative_q1,valence_q1,-0.008668715743817008,0.7906788945872901
vader_negative_q1,valence_median,-0.003890155897398396,0.9051868842478762
vader_negative_q1,valence_q3,0.005952922777449543,0.8553693349387486
vader_negative_q1,valence_range,0.019005447728693396,0.5605847189613414
vader_negative_q1,valence_iqr,0.019198684973425213,0.5566051227770356
vader_negative_q1,valence_std_dev,0.005078107561361979,0.8774889831663772
vader_negative_q1,valence_min,-0.02031559837924866,0.533876200728669
vader_negative_q1,valence_max,0.013253439983317206,0.6848749222058885
vader_negative_q1,valence_mean,-0.005756438996958694,0.860093062384132
vader_negative_q1,valence_skewness,-0.018658247039739183,0.5727684055519839
vader_negative_q1,popularity_q1,0.022814548032385563,0.48338222257119084
vader_negative_q1,popularity_median,0.035513682526476784,0.27518560311285123
vader_negative_q1,popularity_q3,0.04535499665637625,0.16335937895833777
vader_negative_q1,popularity_range,0.054116039356437114,0.096218089835063
vader_negative_q1,popularity_iqr,0.01236643507688943,0.7040437912459167
vader_negative_q1,popularity_std_dev,0.05472374910284181,0.09410359280438386
vader_negative_q1,popularity_min,-0.030802732908118302,0.3439573085696946
vader_negative_q1,popularity_max,0.05775595187077699,0.07580878131115894
vader_negative_q1,popularity_mean,0.02752537637913425,0.39775249025718995
vader_negative_q1,popularity_skewness,-0.03120249907285791,0.3423792508023718
vader_negative_q1,duration_ms_q1,0.009244234123530813,0.7764440257664738
vader_negative_q1,duration_ms_median,0.017104977331956324,0.5992755638035802
vader_negative_q1,duration_ms_q3,0.017110282008496718,0.5991622991119772
vader_negative_q1,duration_ms_range,-0.02186830066266477,0.5017130410883419
vader_negative_q1,duration_ms_iqr,0.014175384902694573,0.6632435600671642
vader_negative_q1,duration_ms_std_dev,-0.016727548121570117,0.609077891197777
vader_negative_q1,duration_ms_min,-0.05761954211179876,0.07650427934336268
vader_negative_q1,duration_ms_max,-0.025264767757254843,0.43764991625065114
vader_negative_q1,duration_ms_mean,0.00495076392311607,0.8791310859774863
vader_negative_q1,duration_ms_skewness,-0.045062398754422056,0.1701921731742517
vader_negative_q1,explicit_q1,0.019962237121108773,0.5397241995718346
vader_negative_q1,explicit_median,-0.0013970763155831858,0.9657706929557041
vader_negative_q1,explicit_q3,-0.006732478902445237,0.8361659180951533
vader_negative_q1,explicit_range,0.060899332027297054,0.061158313114219494
vader_negative_q1,explicit_iqr,-0.019418464394395495,0.5508262392163612
vader_negative_q1,explicit_std_dev,0.03242652224028949,0.3214286101880904
vader_negative_q1,explicit_min,-0.013060441829144263,0.6882820954664328
vader_negative_q1,explicit_max,0.060051895917118236,0.06485630683526689
vader_negative_q1,explicit_mean,-0.002073845607134693,0.9492081191907646
vader_negative_q1,explicit_skewness,0.015033475858810832,0.6474017059710223
vader_negative_q1,release_year_q1,-0.001133877647712108,0.9722163318981912
vader_negative_q1,release_year_median,0.0010941831819780944,0.9731886024124671
vader_negative_q1,release_year_q3,0.0001180606408932586,0.9971065550078694
vader_negative_q1,release_year_range,0.039285141048952865,0.2273682307710842
vader_negative_q1,release_year_iqr,0.001764389061868286,0.9567791622991932
vader_negative_q1,release_year_std_dev,0.07102174444884464,0.02971628776865734
vader_negative_q1,release_year_min,-0.039282135165834654,0.22740382443716325
vader_negative_q1,release_year_max,0.001743759519105494,0.9572840226623497
vader_negative_q1,release_year_mean,-0.03264709115205976,0.3158270705026694
vader_negative_q1,release_year_skewness,0.00242647632149487,0.9411548436210815
vader_negative_q1,artist_entropy,0.018769210824441183,0.5638144609815231
vader_negative_q1,album_entropy,0.017093812877044125,0.5991273679197979
vader_negative_q1,track_entropy,0.018753848962334767,0.5641336497623411
vader_negative_q1,playlist_length_q1,0.014348349367885854,0.6590538047284618
vader_negative_q1,playlist_length_median,0.021477414888857682,0.5089426983830283
vader_negative_q1,playlist_length_q3,0.010687717772913764,0.7424233736407325
vader_negative_q1,playlist_length_range,-0.010490666350874952,0.7470086250737447
vader_negative_q1,playlist_length_iqr,0.004716744790435509,0.8846825070753057
vader_negative_q1,playlist_length_std_dev,-0.01125016438152425,0.7534380694504713
vader_negative_q1,playlist_length_min,0.01157580445716074,0.7218733866388548
vader_negative_q1,playlist_length_max,-0.00893038447923954,0.7836191544980979
vader_negative_q1,playlist_length_mean,0.007728447594013916,0.8121560768893867
vader_negative_q1,playlist_length_skewness,-0.003794676014426367,0.9224861336300194
vader_negative_q1,playlists_count,-0.001561558075842406,0.9582381453066143
vader_negative_q1,tracks_count,0.0013165386435631864,0.9647862276483786
vader_negative_q1,has_spotify,0.026841980331965214,0.18619607717990988
